NAME,RA_1950,DEC_1950,S_max,sigma_Tau,N_H,T_B_max
37W021,00:36:05.12,40:59:39.7,47.4,0.13,,
37W027,00:36:34.60,40:46:31.2,7.7,0.30,18,5.0
37W043,00:37:05.97,40:47:52.8,9.5,0.20,38,11.1
37W045,00:37:12.03,40:55:04.6,10.2,0.16,20,7.1
37W050,00:37:30.15,40:52:08.8,16.7,0.10,65,11.2
37W051,00:37:30.30,40:33:37.2,21.9,0.13,134,15.9
37W052,00:37:33.40,40:41:57.0,13.3,0.12,136,15.3
37W057,00:37:40.74,40:50:45.5,17.1,0.10,86,18.7
37W067,00:38:12.25,40:40:56.3,24.9,0.06,152,27.9
37W081,00:38:35.93,40:54:16.2,13.1,0.21,295,31.6
37W091,00:38:57.34,40:47:08.2,31.2,0.15,28,8.7
