# bin_idx	PA[deg]	RM[rad/m^2]
1	229.0822	-227.3121
1	248.9494	-368.1707
1	238.4778	-336.9060
1	251.5904	-332.3935
1	229.1860	-208.5896
1	275.6737	-325.6037
1	208.3821	-53.5748
1	182.8967	-98.3958
1	286.6214	-290.1051
1	249.1250	-310.1425
1	248.4657	-289.7531
1	172.7465	-44.6520
1	255.2526	-284.7626
1	223.9550	-198.0819
1	302.3863	-195.9823
1	134.2377	-66.8256
1	332.1416	-184.8809
1	62.1389	-140.7814
1	123.6772	-60.2826
1	3.4018	-307.1124
1	95.5604	-57.7194
1	92.7580	-64.5630
1	84.0219	-73.6277
1	93.8651	-64.1390
1	77.4761	-66.2108
1	103.1548	-99.8034
1	101.1712	-66.4691
1	62.7460	-79.0291
1	11.2645	-105.0355
1	74.9077	-41.8632
1	71.8749	-54.6913
1	27.2924	-89.5493
1	67.6122	-28.6906
2	236.2399	-183.2573
2	208.7785	-144.7494
2	252.6746	-272.5760
2	252.5569	-273.0047
2	260.1943	-242.6666
2	230.3745	-188.4295
2	265.7029	-270.5347
2	268.8240	-242.4208
2	203.7785	-98.6846
2	214.5223	-155.8382
2	200.4248	-93.8433
2	240.7213	-337.4991
2	178.8096	-89.2808
2	186.5666	-76.2882
2	283.3660	-348.5365
2	200.7032	-90.8588
2	276.1619	-376.8124
2	178.0551	-99.5646
2	179.8866	-94.1581
2	291.1482	-345.4383
2	287.1202	-354.6039
2	287.3426	-361.3134
2	170.4379	-82.0032
2	290.1715	-350.5319
2	192.4386	-83.6645
2	295.8836	-321.9061
2	176.8131	-68.4842
2	298.5422	-332.9732
2	177.9594	-67.9805
2	182.6028	-141.1670
2	182.3018	-117.6067
2	299.4748	-284.0038
2	162.2870	-81.7230
2	163.1388	-83.5680
2	154.5946	-64.1307
2	162.6868	-78.8967
2	153.3880	-53.9076
2	146.7304	-45.2901
2	144.0627	-95.4139
2	139.4324	-91.3787
2	138.0862	-68.9613
2	137.0440	-60.8317
2	136.7336	-69.9037
2	132.6124	-59.8079
2	338.9729	-142.3187
2	125.1378	-61.1069
2	127.6985	-21.2098
2	343.5609	-167.3938
2	118.1076	-28.4698
2	347.0931	-103.8683
2	109.8518	-78.2342
2	349.8287	-97.0964
2	110.2991	-19.8245
2	2.9037	-81.0185
2	104.4006	-39.0541
2	101.1942	-11.3595
2	108.4479	-27.0884
2	45.6832	-25.6894
2	45.8643	-53.1141
2	4.6035	-13.4450
2	86.5492	-1.3574
2	86.6575	-44.8271
2	77.3386	-43.1074
2	64.8216	-75.0565
2	33.4794	-32.5852
3	238.5898	58.6962
3	249.0159	46.5104
3	248.4265	15.1696
3	255.4701	-53.0710
3	222.5635	-48.9349
3	211.8186	-67.7697
3	225.6568	-25.6265
3	206.2982	-91.2919
3	224.4223	-80.4457
3	280.7650	-145.1388
3	269.9487	-150.3948
3	258.4677	-197.9138
3	278.4477	-191.8107
3	285.8668	-208.8606
3	286.4084	-210.0434
3	183.4135	-90.9672
3	277.0736	-264.5283
3	289.5171	-263.9644
3	290.2506	-310.1126
3	167.7380	-60.3891
3	290.3867	-357.5488
3	166.3032	-88.1197
3	170.9108	-101.4203
3	293.2799	-382.6433
3	293.4559	-387.0367
3	166.4818	-51.3620
3	161.0122	-78.4174
3	159.0691	-66.7351
3	158.9416	-78.7705
3	305.3449	-309.5536
3	159.5883	-57.9082
3	306.5984	-293.3620
3	151.2646	-101.3360
3	312.7536	-264.0312
3	149.8793	-120.6258
3	145.8217	-57.4978
3	145.5323	-72.3444
3	318.8890	-264.4828
3	322.0901	-213.0133
3	323.4967	-158.7010
3	327.5240	-190.0849
3	137.8211	-71.9105
3	137.7599	-84.8776
3	333.1622	-153.0948
3	340.5876	-97.3479
3	342.5210	-103.4775
3	344.8552	-62.3755
3	119.0446	-42.3217
3	107.4572	9.9837
3	113.4780	-71.3168
3	1.6321	-5.7959
3	13.8890	26.5403
3	359.1617	3.6062
3	11.8284	-7.1639
3	17.6698	-3.9431
3	100.1545	-27.2525
3	12.9836	17.4445
3	16.9409	15.2243
3	89.0431	-5.1953
3	76.6945	-60.2169
3	10.5978	46.8588
3	88.7645	-22.9235
3	18.1349	32.8959
3	38.9072	5.7154
3	17.6360	35.5239
3	17.7948	37.9925
3	20.4651	12.7873
3	68.5291	-31.4078
3	84.6511	-7.1983
3	68.6188	-35.9156
3	91.6982	-28.8011
3	91.6629	-27.7570
3	89.2764	-58.0930
3	26.5336	22.8278
3	69.1954	-22.4816
3	31.2182	-35.9988
3	49.4063	-44.5906
3	47.9831	-77.8861
3	48.0782	-70.6713
3	77.0925	-28.8245
3	62.9833	-10.3515
3	24.7858	22.2758
3	34.1679	-22.9947
3	42.9983	-44.9203
3	63.7691	-29.0513
3	64.2333	-67.8973
4	247.8203	236.0623
4	215.1453	-124.1835
4	233.4022	175.1885
4	252.9257	212.3925
4	227.4767	52.8513
4	218.1333	-93.0677
4	218.0937	-102.6502
4	246.9644	174.0398
4	203.1310	-92.8593
4	199.8561	-104.7105
4	226.9784	17.3411
4	253.7298	139.2730
4	241.3010	139.6371
4	197.7046	-46.1936
4	251.8847	114.3623
4	227.7609	27.6340
4	255.9790	108.9990
4	206.4574	-145.9349
4	195.1525	-74.5410
4	207.5974	-126.6878
4	207.6616	-115.0232
4	191.6622	-65.2764
4	186.8408	-57.5815
4	276.7393	-5.8899
4	274.9730	23.9944
4	273.3002	-40.2327
4	181.1181	-57.7712
4	182.5647	-38.9804
4	271.9775	-31.9965
4	181.2582	-30.4441
4	282.1265	-87.7305
4	186.5578	-15.0203
4	286.5641	-111.7163
4	276.0170	-118.9091
4	178.2908	-42.5444
4	282.4402	-93.9603
4	175.8975	-36.3085
4	292.2379	-218.9777
4	171.5514	-35.8299
4	286.1777	-220.7653
4	170.4814	-51.4642
4	297.8766	-251.8369
4	297.8323	-267.9365
4	168.3127	-69.5769
4	163.7594	-64.4233
4	164.0479	-41.4691
4	157.3662	-136.1665
4	153.6693	-67.7612
4	312.7240	-296.8044
4	150.0627	-70.1025
4	149.5262	-67.2698
4	148.9771	-98.8086
4	147.4235	-66.8909
4	146.8495	-74.6668
4	318.1830	-257.2449
4	146.4823	-76.0070
4	320.1789	-208.6769
4	320.4328	-223.6664
4	143.4782	-51.3947
4	143.4469	-63.7734
4	321.0705	-203.0306
4	321.5636	-231.4552
4	134.6725	-63.1625
4	133.6825	-81.6212
4	131.4606	-63.7353
4	334.7558	-144.1022
4	335.6907	-109.7839
4	335.7769	-107.9600
4	125.8299	-24.4910
4	123.1039	-39.4334
4	337.7755	-79.7972
4	338.6708	-63.2450
4	344.2941	-52.9456
4	340.2811	-38.6089
4	340.4483	-47.1938
4	122.3683	-36.3299
4	341.3271	-22.3194
4	117.5470	-33.9169
4	118.0130	-73.5027
4	343.8974	-34.5611
4	119.7120	-42.4039
4	118.7747	-25.7784
4	351.9285	29.2129
4	108.8326	-41.7967
4	353.2800	-14.3364
4	351.8512	-7.4175
4	111.5642	-11.9704
4	109.3983	-54.0981
4	102.3746	-7.1278
4	355.4718	12.4184
4	0.7812	-1.8321
4	98.8703	-27.1545
4	101.1361	20.3766
4	92.8475	-29.0794
4	5.0701	3.8363
4	100.1035	16.5896
4	91.8157	2.7272
4	97.4246	-22.9792
4	95.6939	-6.6649
4	89.6749	22.5755
4	31.9795	-9.4868
4	92.5960	13.8939
4	15.5444	71.8465
4	12.6053	8.0424
4	12.5323	12.3777
4	82.1617	-2.3141
4	82.0090	11.1089
4	74.0144	-39.5049
4	32.4425	38.2819
4	40.1669	-17.8497
4	83.7471	7.1716
4	43.5714	-17.4441
4	79.1543	-34.7171
4	78.5793	-58.6873
4	48.9043	-50.5680
4	29.1219	56.2988
4	30.6432	52.1430
4	64.9238	-26.1366
4	76.4944	-23.9218
4	41.4091	11.2128
4	41.6752	-13.4168
4	70.1243	-31.4546
4	65.1793	0.5010
4	57.0599	-10.8655
4	222.0441	22.8250
4	243.8226	61.9405
4	247.5883	85.7452
4	225.8796	-9.8127
4	215.9932	-56.4938
4	212.5188	-75.0497
5	269.6083	181.2826
5	197.5455	-23.9097
5	197.2293	-31.5948
5	270.3399	135.1955
5	194.8181	-38.7640
5	278.3038	170.1826
5	181.8318	-25.9243
5	277.0782	92.4643
5	272.2541	114.2078
5	276.6028	146.6472
5	283.0688	230.9789
5	187.1632	-19.7326
5	188.3672	-28.8534
5	182.8021	-64.3928
5	179.4192	-21.8226
5	179.4786	-22.9293
5	282.1374	26.3149
5	282.4554	33.8709
5	283.7730	40.4714
5	175.2179	-7.9513
5	175.1735	-7.9090
5	175.1484	-9.6761
5	289.5456	75.0847
5	286.2207	29.8477
5	181.0721	-24.3667
5	174.2952	15.0159
5	173.3385	-44.5173
5	176.3536	-31.0772
5	171.8738	-25.0132
5	288.6129	-93.2911
5	288.6459	-113.0856
5	293.4307	-44.7436
5	171.9745	31.4261
5	171.9115	-15.8095
5	172.6692	-25.1851
5	290.6601	-114.5197
5	169.9002	-26.1065
5	163.3759	-41.4125
5	165.9604	-39.5163
5	298.7225	-262.4529
5	164.1106	-48.3428
5	301.4424	-260.1813
5	301.5370	-279.0989
5	300.6109	-278.6448
5	163.7861	-42.8495
5	161.2944	-70.3023
5	157.2869	-53.1476
5	157.7158	-64.6169
5	308.9347	-354.4940
