# PA[deg]	RM[rad/m^2]
292.1467	-0.6001
292.1286	-4.6156
163.3916	0.0519
166.7318	0.1411
166.3822	-9.4699
166.3599	-1.0421
291.5393	0.7465
166.3538	9.3004
161.9382	-3.0327
159.7090	-0.6740
160.3788	-2.9118
159.2876	-9.7224
290.5152	10.8250
161.2754	-5.8992
158.8038	-1.4722
158.6992	13.7754
159.3940	-26.1314
294.7009	22.2992
160.9448	-19.9279
159.0569	-1.3603
160.4820	9.2158
297.8098	16.9413
157.9982	-15.0154
159.1346	-0.2029
159.3353	17.3715
158.4857	-13.7083
158.4559	-15.0615
158.2502	-10.9764
160.7148	-9.7271
161.4748	-32.1790
159.3462	17.9409
292.9432	31.7981
161.4311	-14.4573
159.3263	-16.4477
157.0947	-4.2410
157.6986	-3.7354
157.5839	3.0275
157.2596	21.9411
157.3822	-17.6418
158.9590	-12.3204
157.6879	-1.7994
157.9407	5.7885
156.6084	7.6287
296.0380	13.2908
159.8597	2.5064
157.8214	0.7588
157.7928	-17.1176
157.6229	-12.7047
155.9432	7.4480
157.5817	-0.8717
300.7825	0.9850
160.4376	-14.2477
157.2738	-11.4069
156.2926	20.9156
154.7417	5.7121
158.8470	13.2679
300.1495	20.8255
301.5736	-69.5165
302.7161	-129.8743
155.0383	-5.3461
156.0710	-2.1897
158.0177	0.3028
153.6189	4.6982
157.0219	-2.2912
157.2732	35.6059
155.7082	23.2791
154.0835	-20.4795
155.7273	-17.7542
155.6618	-23.4708
153.6214	7.5982
153.5882	3.9722
154.2277	251.1591
155.4094	-2.5738
306.5333	1.8504
156.1479	-0.0307
153.2081	4.0362
155.7163	2.0859
155.6986	12.8656
152.6094	-8.4714
155.8690	-14.1127
152.2344	4.7972
154.7904	28.1861
307.9259	-58.0417
154.7434	-17.4253
154.7972	-11.7893
151.5287	-1.0083
152.9831	-8.6457
308.4644	-19.7392
154.0931	-4.4966
153.0501	29.1782
153.0659	7.8897
152.5723	-2.3520
150.7147	-27.2621
150.2906	-7.9747
151.0796	-2.1042
152.3553	17.5661
150.9617	2.1256
152.3983	16.9938
149.9236	-32.2313
150.5719	-5.1078
151.3012	-7.4296
150.0965	-2.2589
149.6247	-1.2180
148.8031	-20.0434
151.0523	0.9588
149.6026	0.0503
148.9638	1.7824
150.7094	0.0033
313.5072	-22.7227
313.5523	25.6382
148.0659	0.4381
147.8366	-2.0742
314.9513	3.4221
148.3145	-0.7827
146.9609	18.4316
146.8439	11.5845
146.8013	36.7946
145.5322	8.2450
146.7777	20.2925
146.7594	11.0837
145.6774	12.0763
145.2999	-24.0330
146.1563	1.0636
146.2438	7.5711
145.1339	11.7865
145.1058	22.5477
145.4591	25.3391
145.5060	12.3478
145.0332	19.2501
145.3344	89.7171
144.9112	30.9784
144.5185	-8.1573
144.0096	-26.1812
144.2711	13.6888
144.2486	2.2675
143.9860	10.2998
143.9837	11.1687
144.1119	22.1239
143.4974	2.4886
143.5203	33.5398
143.3067	2.2997
142.9735	15.6485
142.8455	25.2900
321.8079	45.1238
322.0146	17.6477
142.3797	23.9317
142.2420	1.2859
142.1539	-3.6726
141.8779	1.1873
141.8230	15.2837
141.5696	18.8399
141.5889	-21.9937
141.2848	1.3235
141.1657	-4.9220
141.1357	16.0105
140.8275	-42.0060
140.2657	35.4656
140.3806	3.4672
140.0352	44.7798
140.2145	13.3584
139.6991	-34.1011
