# PA_bin	RadialBinCenter[kpc]	PA[deg]	RM[rad/m^2]
1	15.00	229.0822	-29.2675
1	15.00	248.9494	-27.2869
1	15.00	238.4778	-68.0626
1	15.00	251.5904	-8.7367
1	15.00	229.1860	-26.8125
1	15.00	275.6737	-11.8733
1	15.00	208.3821	-14.8630
1	15.00	182.8967	-46.5770
1	15.00	286.6214	-6.7938
1	15.00	249.1250	-63.3650
1	15.00	248.4657	-47.3922
1	15.00	172.7465	3.9610
1	15.00	255.2526	-48.4797
1	15.00	223.9550	-56.0169
1	15.00	302.3863	-21.4857
1	15.00	134.2377	-27.5461
1	15.00	332.1416	-7.0455
1	15.00	62.1389	-33.3337
1	15.00	3.4018	-145.6849
1	15.00	95.5604	-32.2350
1	15.00	92.7580	-36.1778
1	15.00	84.0219	-31.6893
1	15.00	93.8651	-37.5317
1	15.00	77.4761	-25.7092
1	15.00	103.1548	-68.4188
1	15.00	101.1712	-35.4763
1	15.00	62.7460	-16.5239
1	15.00	11.2645	-7.3506
1	15.00	74.9077	-20.4451
1	15.00	71.8749	-33.6678
1	15.00	27.2924	-13.7570
1	15.00	67.6122	-3.1434
2	45.00	236.2399	-20.9563
2	45.00	208.7785	-108.0419
2	45.00	252.6746	-77.2215
2	45.00	252.5569	-76.4716
2	45.00	260.1943	-39.9083
2	45.00	230.3745	-51.8874
2	45.00	265.7029	-36.1712
2	45.00	268.8240	-3.3730
2	45.00	203.7785	-53.3250
2	45.00	214.5223	-121.7557
2	45.00	200.4248	-45.7508
2	45.00	240.7213	-21.6984
2	45.00	186.5666	-18.4351
2	45.00	283.3660	20.4229
2	45.00	200.7032	-30.7970
2	45.00	276.1619	-9.2317
2	45.00	178.0551	-40.2340
2	45.00	179.8866	-34.9273
2	45.00	291.1482	12.2586
2	45.00	287.1202	-5.4241
2	45.00	287.3426	-12.7918
2	45.00	170.4379	-24.7602
2	45.00	290.1715	-10.5723
2	45.00	192.4386	-27.6859
2	45.00	295.8836	7.6380
2	45.00	176.8131	-13.4181
2	45.00	298.5422	-16.3300
2	45.00	177.9594	-14.1280
2	45.00	182.6028	-87.6063
2	45.00	182.3018	-64.1022
2	45.00	299.4748	14.0794
2	45.00	162.2870	-31.7396
2	45.00	163.1388	-35.1263
2	45.00	154.5946	-14.0219
2	45.00	162.6868	-30.6145
2	45.00	153.3880	-5.6211
2	45.00	146.7304	-1.8281
2	45.00	144.0627	-50.6568
2	45.00	139.4324	-49.9699
2	45.00	138.0862	-29.4624
2	45.00	137.0440	-21.5465
2	45.00	136.7336	-30.7377
2	45.00	132.6124	-22.4997
2	45.00	123.6772	-25.1390
2	45.00	338.9729	1.6009
2	45.00	125.1378	-27.0406
2	45.00	127.6985	15.3732
2	45.00	343.5609	-50.8273
2	45.00	118.1076	3.0314
2	45.00	347.0931	1.9970
2	45.00	109.8518	-47.4178
2	45.00	349.8287	-3.5018
2	45.00	110.2991	7.6317
2	45.00	2.9037	-16.6186
2	45.00	104.4006	-15.8525
2	45.00	101.1942	10.8232
2	45.00	108.4479	-2.7344
2	45.00	45.6832	23.2539
2	45.00	45.8643	-5.1650
2	45.00	4.6035	-3.2173
2	45.00	86.5492	15.2976
2	45.00	86.6575	-28.2619
2	45.00	77.3386	-26.9696
2	45.00	64.8216	-59.6268
2	45.00	33.4794	-35.3960
3	75.00	238.5898	-20.3293
3	75.00	249.0159	-6.9476
3	75.00	248.4265	-8.3824
3	75.00	255.4701	-53.7132
3	75.00	222.5635	-45.8201
3	75.00	211.8186	-54.6643
3	75.00	225.6568	-17.1492
3	75.00	206.2982	-69.5715
3	75.00	224.4223	-52.0132
3	75.00	269.9487	-1.6953
3	75.00	258.4677	-31.4435
3	75.00	278.4477	17.5720
3	75.00	285.8668	1.0963
3	75.00	286.4084	1.1485
3	75.00	183.4135	-38.4023
3	75.00	277.0736	-23.6976
3	75.00	289.5171	-6.8069
3	75.00	290.2506	-14.1659
3	75.00	178.8096	-30.7201
3	75.00	167.7380	-1.6173
3	75.00	290.3867	-1.1066
3	75.00	166.3032	-28.5057
3	75.00	170.9108	-41.9382
3	75.00	293.2799	-23.7976
3	75.00	293.4559	-29.3413
3	75.00	166.4818	7.4476
3	75.00	161.0122	-21.6772
3	75.00	159.0691	-12.0919
3	75.00	158.9416	-24.2034
3	75.00	305.3449	7.6429
3	75.00	159.5883	-3.4274
3	75.00	306.5984	2.4888
3	75.00	151.2646	-50.5690
3	75.00	312.7536	-7.4855
3	75.00	149.8793	-70.4303
3	75.00	145.8217	-13.3330
3	75.00	145.5323	-31.9099
3	75.00	318.8890	-46.4010
3	75.00	322.0901	-13.3010
3	75.00	323.4967	30.7993
3	75.00	327.5240	-21.9537
3	75.00	137.8211	-33.8598
3	75.00	137.7599	-46.9905
3	75.00	333.1622	-29.8543
3	75.00	340.5876	-41.2640
3	75.00	342.5210	-56.8030
3	75.00	344.8552	-19.7068
3	75.00	119.0446	-16.3292
3	75.00	107.4572	34.2508
3	75.00	113.4780	-48.2286
3	75.00	1.6321	-29.2223
3	75.00	13.8890	1.5458
3	75.00	359.1617	-23.9821
3	75.00	11.8284	-33.6651
3	75.00	17.6698	-30.1515
3	75.00	100.1545	-14.5131
3	75.00	12.9836	-11.0893
3	75.00	16.9409	-13.6119
3	75.00	89.0431	5.7616
3	75.00	76.6945	-50.1417
3	75.00	10.5978	14.9635
3	75.00	88.7645	-13.0866
3	75.00	18.1349	2.7619
3	75.00	38.9072	3.7477
3	75.00	17.6360	3.9972
3	75.00	17.7948	6.3504
3	75.00	20.4651	-19.0143
3	75.00	68.5291	-24.1666
3	75.00	84.6511	0.0364
3	75.00	68.6188	-29.0828
3	75.00	91.6982	-27.2064
3	75.00	89.2764	-55.8607
3	75.00	26.5336	-9.7484
3	75.00	69.1954	-16.7757
3	75.00	31.2182	-58.4432
3	75.00	49.4063	-38.9094
3	75.00	47.9831	-74.0639
3	75.00	48.0782	-66.8518
3	75.00	77.0925	-24.9511
3	75.00	62.9833	-6.8043
3	75.00	24.7858	-15.8981
3	75.00	34.1679	-45.8306
3	75.00	42.9983	-50.5172
3	75.00	63.7691	-28.4699
4	105.00	247.8203	-9.7868
4	105.00	215.1453	-145.2458
4	105.00	233.4022	-56.9049
4	105.00	252.9257	-19.0785
4	105.00	227.4767	-54.1525
4	105.00	218.1333	-111.3245
4	105.00	218.0937	-120.6718
4	105.00	246.9644	-14.9827
4	105.00	203.1310	-58.4510
4	105.00	199.8561	-70.1489
4	105.00	226.9784	-52.5340
4	105.00	253.7298	-16.6839
4	105.00	241.3010	-8.7642
4	105.00	197.7046	-10.4325
4	105.00	251.8847	-13.0775
4	105.00	227.7609	-32.3320
4	105.00	255.9790	0.8381
4	105.00	206.4574	-120.7066
4	105.00	195.1525	-35.7915
4	105.00	207.5974	-110.6151
4	105.00	207.6616	-99.3830
4	105.00	191.6622	-25.7813
4	105.00	186.8408	-14.6340
4	105.00	276.7393	3.1984
4	105.00	274.9730	44.1674
4	105.00	273.3002	-19.3005
4	105.00	181.1181	-20.0556
4	105.00	182.5647	4.6082
4	105.00	271.9775	27.8456
4	105.00	181.2582	11.1181
4	105.00	282.1265	-22.5287
4	105.00	186.5578	30.9068
4	105.00	286.5641	-28.0598
4	105.00	276.0170	-24.2829
4	105.00	178.2908	-2.2777
4	105.00	282.4402	9.5949
4	105.00	175.8975	3.9900
4	105.00	280.7650	0.9963
4	105.00	292.2379	-25.4294
4	105.00	171.5514	5.6777
4	105.00	286.1777	-23.8557
4	105.00	170.4814	-9.2616
4	105.00	297.8766	-6.9680
4	105.00	297.8323	-5.0000
4	105.00	168.3127	-18.4789
4	105.00	163.7594	-19.4815
4	105.00	164.0479	8.2631
4	105.00	157.3662	-93.3343
4	105.00	153.6693	-23.9056
4	105.00	150.0627	-31.0988
4	105.00	149.5262	-28.5093
4	105.00	148.9771	-60.2165
4	105.00	147.4235	-29.2577
4	105.00	146.8495	-37.3722
4	105.00	318.1830	-19.1801
4	105.00	146.4823	-38.9839
4	105.00	320.1789	8.8273
4	105.00	320.4328	-9.5087
4	105.00	321.0705	6.8031
4	105.00	321.5636	-26.8412
4	105.00	134.6725	-33.2912
4	105.00	133.6825	-52.5562
4	105.00	131.4606	-35.2508
4	105.00	334.7558	-62.0370
4	105.00	335.6907	-55.2863
4	105.00	335.7769	-54.6291
4	105.00	125.8299	-0.0234
4	105.00	123.1039	-13.9545
4	105.00	337.7755	-40.1583
4	105.00	338.6708	-36.1440
4	105.00	344.2941	-34.5190
4	105.00	340.2811	-20.4080
4	105.00	340.4483	-31.0092
4	105.00	122.3683	-14.1204
4	105.00	117.5470	-11.5547
4	105.00	118.0130	-51.6756
4	105.00	343.8974	-43.6699
4	105.00	119.7120	-21.7889
4	105.00	118.7747	-5.6130
4	105.00	351.9285	2.5766
4	105.00	108.8326	-30.2474
4	105.00	353.2800	-45.6943
4	105.00	351.8512	-38.8211
4	105.00	111.5642	-3.2367
4	105.00	109.3983	-51.8220
4	105.00	102.3746	-1.8568
4	105.00	0.7812	-39.0094
4	105.00	98.8703	-25.4197
4	105.00	91.6629	-26.3684
4	105.00	101.1361	13.5599
4	105.00	92.8475	-31.8556
4	105.00	5.0701	-38.5895
4	105.00	100.1035	6.0841
4	105.00	91.8157	-2.2881
4	105.00	97.4246	-31.5748
4	105.00	95.6939	-13.5583
4	105.00	89.6749	13.5422
4	105.00	31.9795	-46.9105
4	105.00	64.2333	-68.3186
4	105.00	92.5960	-4.8087
4	105.00	15.5444	19.9563
4	105.00	12.6053	-44.5640
4	105.00	12.5323	-40.3141
4	105.00	82.1617	-10.1800
4	105.00	82.0090	2.3226
4	105.00	74.0144	-41.7141
4	105.00	32.4425	-4.4871
4	105.00	40.1669	-32.1643
4	105.00	83.7471	-12.4151
4	105.00	43.5714	-25.5503
4	105.00	79.1543	-43.2941
4	105.00	78.5793	-65.7696
4	105.00	48.9043	-55.1479
4	105.00	29.1219	8.8352
4	105.00	30.6432	4.6050
4	105.00	64.9238	-31.4275
4	105.00	76.4944	-29.4988
4	105.00	41.4091	-5.5171
4	105.00	41.6752	-29.2329
4	105.00	70.1243	-38.2504
4	105.00	65.1793	-8.4711
4	105.00	222.0441	-102.6831
4	105.00	243.8226	-35.6925
4	105.00	247.5883	-33.6102
4	105.00	225.8796	-137.0998
4	105.00	215.9932	-165.8529
4	105.00	212.5188	-140.0925
5	135.00	269.6083	-46.9718
5	135.00	197.5455	8.5219
5	135.00	197.2293	2.4440
5	135.00	270.3399	-17.2347
5	135.00	194.8181	-3.1343
5	135.00	278.3038	35.2980
5	135.00	277.0782	-27.8864
5	135.00	272.2541	-16.4120
5	135.00	276.6028	31.1861
5	135.00	283.0688	125.4332
5	135.00	187.1632	16.6628
5	135.00	188.3672	9.2790
5	135.00	182.8021	-29.0507
5	135.00	179.4192	14.1601
5	135.00	179.4786	13.0569
5	135.00	282.1374	3.8660
5	135.00	282.4554	11.4667
5	135.00	283.7730	24.7661
5	135.00	286.2207	32.7420
5	135.00	181.0721	12.3681
5	135.00	174.2952	53.5259
5	135.00	173.3385	-5.0336
5	135.00	176.3536	7.1215
5	135.00	171.8738	16.0424
5	135.00	288.6129	-12.1978
5	135.00	288.6459	-30.5768
5	135.00	293.4307	59.6586
5	135.00	171.9745	71.6731
5	135.00	171.9115	24.5039
5	135.00	172.6692	13.9032
5	135.00	290.6601	-9.5435
5	135.00	169.9002	16.7767
5	135.00	163.3759	5.3062
5	135.00	165.9604	4.7337
5	135.00	298.7225	-12.4925
5	135.00	164.1106	-4.2978
5	135.00	301.4424	17.6920
5	135.00	301.5370	0.6805
5	135.00	300.6109	1.1501
5	135.00	163.7861	0.7517
5	135.00	161.2944	-24.3861
5	135.00	157.2869	-2.0187
5	135.00	157.7158	-13.4365
5	135.00	308.9347	63.2018
5	135.00	310.0082	4.8284
5	135.00	310.5773	4.5589
5	135.00	312.7240	5.3785
5	135.00	149.3849	-26.2103
5	135.00	149.0352	-7.5209
5	135.00	149.0818	-21.1304
5	135.00	317.3619	-26.8366
5	135.00	144.5113	-4.9998
5	135.00	144.4675	-32.7183
5	135.00	144.0537	-35.1116
5	135.00	143.4782	-13.4427
5	135.00	143.4469	-25.8440
5	135.00	142.7809	-4.8824
5	135.00	322.4550	-16.4888
5	135.00	142.0617	-19.1112
5	135.00	322.7090	-6.9462
5	135.00	140.8737	-15.6471
5	135.00	325.2262	0.3053
5	135.00	138.7735	-39.1631
5	135.00	137.7326	5.5510
5	135.00	137.7804	-20.1629
5	135.00	134.7271	14.3222
5	135.00	330.1882	-5.6151
5	135.00	330.3635	9.7497
5	135.00	331.1604	11.7634
5	135.00	331.1921	16.7357
5	135.00	133.0585	-21.7411
5	135.00	133.0435	-24.1771
5	135.00	131.8172	-77.1602
5	135.00	131.1957	-33.2941
5	135.00	131.3935	-20.1170
5	135.00	130.5286	-26.0602
5	135.00	335.9167	-13.5280
5	135.00	338.4852	-17.9048
5	135.00	341.3271	-27.2735
5	135.00	126.0798	-1.1236
5	135.00	124.9565	-20.8470
5	135.00	123.6512	-15.0851
5	135.00	340.8802	-55.5437
5	135.00	340.4696	-55.0344
5	135.00	124.2954	-38.0636
5	135.00	344.1806	-62.1740
5	135.00	122.7021	-18.9143
5	135.00	343.0495	-3.2073
5	135.00	344.0982	-52.2198
5	135.00	343.5365	49.2788
5	135.00	119.9772	-8.4002
5	135.00	120.6595	-36.2972
5	135.00	118.4441	-35.1490
5	135.00	350.9960	-64.4835
5	135.00	111.2435	3.7401
5	135.00	114.9683	-23.6446
5	135.00	355.4718	-24.3971
5	135.00	114.6122	-9.2071
5	135.00	109.0677	-12.6724
5	135.00	109.5743	12.3709
5	135.00	357.1829	-75.9655
5	135.00	357.1877	-47.7024
5	135.00	108.1733	-33.9740
5	135.00	356.8723	-56.1083
5	135.00	357.3196	-85.6463
5	135.00	1.2451	-50.0180
5	135.00	102.5710	-3.1683
5	135.00	95.7893	13.3161
5	135.00	16.0508	-37.1288
5	135.00	84.7850	8.8720
5	135.00	8.9585	-56.4822
5	135.00	8.8129	-50.3555
5	135.00	16.8081	-31.9684
5	135.00	9.1499	-86.5521
5	135.00	13.8332	-74.1266
5	135.00	13.6786	-103.1342
5	135.00	26.3835	2.1312
5	135.00	21.5930	-32.1474
5	135.00	79.7639	13.4240
5	135.00	33.4355	4.3592
5	135.00	45.3394	-26.2317
5	135.00	57.0599	-19.5307
5	135.00	18.4205	-51.3958
5	135.00	84.8178	23.6768
5	135.00	61.2566	-6.3499
5	135.00	48.1134	-32.8483
5	135.00	72.2375	-125.4367
5	135.00	65.7435	2.6771
5	135.00	43.4302	-5.2549
5	135.00	71.3170	9.4117
5	135.00	26.5216	2.9687
5	135.00	35.9403	-21.1896
5	135.00	72.1415	33.7617
5	135.00	72.7554	15.5204
5	135.00	25.0977	-33.9768
5	135.00	67.5876	-4.5862
5	135.00	67.4689	-20.9751
5	135.00	74.8130	15.6533
5	135.00	74.7164	4.3990
5	135.00	43.3398	-36.2877
5	135.00	41.8020	-41.4099
5	135.00	41.7727	-30.6800
5	135.00	69.5626	42.1118
