# PA[deg]	RM[rad/m^2]
163.3916	0.0000
159.0414	-0.7438
161.9382	-10.0791
159.7090	0.0138
306.2187	-2.5341
160.3788	3.3281
159.2876	-9.6028
161.2754	-10.9442
158.8038	7.3945
157.3400	0.3970
158.6992	21.3185
159.3940	-25.4796
156.7464	9.0697
157.3389	1.7037
160.9448	-19.9570
159.0569	-1.6258
160.4820	5.9635
157.9982	-10.2159
159.1346	6.5755
159.3353	28.4846
158.4857	-12.8737
158.4559	-14.2309
156.1422	6.6832
158.2502	-9.5396
160.7148	-9.5549
159.3462	19.7996
155.8998	24.4067
159.3263	-19.3028
157.0947	-0.7622
157.6986	-3.5557
155.8631	2.8732
157.5839	9.2276
154.9339	16.7036
157.2596	22.4037
154.9306	17.4857
155.5187	1.2342
157.3822	-8.0426
154.7663	15.1716
158.9590	-11.9980
157.6879	7.3866
157.9407	1.5093
154.5197	24.0301
156.6084	7.6605
154.4115	-14.6901
310.0529	41.6155
157.8214	1.0352
157.7928	-16.8350
157.6229	-12.2831
155.9432	13.5101
157.5817	-0.4431
154.3653	6.6824
157.2738	-10.9899
153.3798	22.0880
156.2926	22.1827
154.7417	5.7709
311.7056	15.4717
153.5106	18.5562
155.0383	9.5633
156.0710	-1.7473
152.7557	33.7807
152.2267	23.1606
153.6189	9.3092
155.7082	23.8062
311.5804	-0.3633
154.0835	-10.9927
152.3319	-8.6880
152.0077	18.0016
153.6214	23.0317
153.5882	19.5050
151.7692	26.4599
154.2277	251.3203
151.0478	-24.5201
151.6763	10.3412
151.1473	-16.4167
151.2027	21.2038
153.2081	12.6430
151.8824	1.5117
151.0054	0.4416
152.6094	4.0562
150.9174	19.2703
152.2344	17.0633
150.1639	-43.0076
150.9388	4.3261
150.4118	-3.6344
151.5287	-0.8404
149.9636	10.0272
150.5733	-41.3723
150.2602	16.7450
149.8229	-4.0798
150.7147	-13.1386
149.2754	-18.0042
150.2906	-8.1427
148.9815	-2.7047
151.0796	-1.9702
148.7393	-0.5121
150.9617	2.2552
148.9438	-31.3561
148.5561	-9.0062
148.5557	-10.1251
149.9236	-13.9873
148.6685	-22.5517
148.4026	30.0147
148.2596	1.0819
148.3135	-27.1640
148.5035	9.4390
149.6247	-0.8182
148.8031	-20.5734
148.0991	3.3334
148.1914	-3.8947
148.1567	-2.3282
148.9638	2.8938
148.0659	6.0599
147.8366	-2.7454
146.6239	4.8678
146.4400	-18.5782
145.3201	-4.4104
145.1510	2.2965
145.2834	-20.8924
145.5322	22.4474
145.1094	12.6887
144.9960	-9.0429
145.2999	-13.4259
144.8764	-13.1875
145.1339	11.8159
145.1058	22.5551
144.3021	42.2590
144.2879	19.5765
144.3922	2.3680
144.0300	-1.3344
320.6582	1.4450
320.8337	-5.0736
144.0096	-18.4786
320.9540	-21.0222
143.5710	-6.6952
143.4648	-8.1104
143.1980	-17.7361
142.8495	-10.5864
142.6691	6.1641
142.5188	-2.5181
142.3797	24.2796
142.3085	-8.4138
142.2420	-0.2390
142.2270	-20.1784
322.5001	43.6389
141.9916	-32.1917
141.5696	17.8816
141.5889	-21.1632
323.0518	53.5945
141.5893	-17.9817
141.5739	-16.2973
323.1299	52.9863
141.4618	-9.8381
141.2262	-6.3775
323.4095	74.3288
141.1432	2.4245
140.8275	-33.9050
323.9762	49.5232
140.6502	-17.5757
140.2717	-23.4469
140.2130	-11.1813
139.9930	11.1610
139.4295	-2.6249
139.8825	-37.7444
139.1779	-12.3545
139.0995	8.9124
138.8264	-16.7645
138.8742	-6.4938
138.0447	36.5839
138.5493	5.5595
138.5363	7.1157
138.1419	-15.4514
137.4074	1.2210
137.9815	-8.5245
137.1380	-13.7706
137.3640	-20.8531
136.8668	12.9907
136.4527	21.8875
135.6523	-8.2227
327.7552	32.8013
327.8119	36.7464
135.7645	-14.0853
135.6316	-5.4893
136.2955	5.2608
134.9731	13.3884
134.8115	5.0047
134.7901	2.2255
135.7144	-8.2926
134.0120	0.2685
329.3869	-1.3025
134.3623	3.6810
133.9951	11.5115
133.2162	1.6250
133.4753	-7.7944
133.0117	-6.7782
132.8646	-8.9734
135.0554	-21.5153
135.2979	6.6420
133.5971	-6.0215
135.1215	-12.8376
132.5759	-8.1824
134.7047	-5.9066
134.9378	4.3254
133.7162	31.6311
133.2047	3.7801
134.2312	-5.8071
132.9734	13.7378
132.4672	-31.4055
133.9034	14.3544
132.6649	1.3924
133.4751	-10.0105
132.6024	6.6930
133.5523	-12.1152
331.0109	43.5185
134.1757	12.3558
131.8645	22.4346
133.4712	1.5235
331.7250	16.8513
132.6496	-28.7257
131.1683	22.3542
132.3103	7.6065
130.9135	4.8373
133.1158	-5.3298
132.9064	3.8752
132.4451	80.4377
332.5667	10.9490
131.2432	-5.5263
332.7392	92.4011
131.2019	-8.3121
131.9985	11.5679
129.7214	22.0148
131.5732	11.9924
131.2199	-2.6353
131.3419	41.3255
333.6869	-181.0663
131.0480	11.3972
129.9053	8.1013
129.0524	-9.7793
131.4323	11.2091
130.1576	-2.5179
129.4651	1.2577
130.9080	-5.3050
128.8711	-107.6336
334.0989	13.6822
130.2171	15.8070
127.7351	-2.2503
127.3067	-32.5090
130.3090	7.3950
128.2052	38.3931
128.5416	23.1744
129.5411	15.3033
130.6441	-9.3918
130.3439	10.2927
129.1579	17.2982
130.0365	4.3842
127.2512	30.6339
129.6170	30.3063
128.6045	29.2517
128.4999	-18.3305
127.3277	8.0561
128.5690	-17.0564
335.0999	-57.4942
128.0165	3.4463
126.4143	19.9269
125.1722	-31.5094
127.5314	-4.4357
126.8424	5.5212
127.6656	-2.9834
336.1011	-56.1710
336.1988	-66.5800
123.7208	-15.9539
128.2033	-28.3653
127.0854	-6.4528
127.2052	8.1914
122.8217	-8.6177
127.0620	13.4825
127.8513	-4.8555
126.7695	7.3486
124.8388	11.6656
124.0607	27.2382
124.9272	-8.2344
125.1571	4.2828
124.3662	-8.9328
123.7983	24.2352
123.1037	-4.6972
123.2179	-8.4366
120.4034	-10.9989
122.5530	11.5131
122.9323	9.3448
121.5549	-14.1988
123.1754	21.1017
124.1158	1.0290
122.2248	4.9836
119.0697	-0.1565
118.7800	3.9151
120.6600	-4.1824
122.6103	-7.1680
123.4510	-9.6110
118.6516	-56.0950
122.4111	-27.2977
120.9241	6.7281
122.5286	-2.7130
119.0835	11.8664
118.7942	-5.4473
122.0341	-6.0492
118.0508	-20.2680
122.3832	-2.2903
118.6656	8.4766
115.3685	-7.7531
116.4078	-1.6965
120.9341	34.5549
120.9096	-8.5322
121.6061	9.3545
342.7134	5.9145
116.3745	5.2630
118.6807	16.4499
120.1570	3.9214
121.7951	12.1605
121.3143	-42.6208
118.9594	4.4538
116.1181	13.4274
116.0892	65.4853
121.2777	-4.8436
121.2654	37.1365
121.2863	-11.7428
121.1437	1.4781
117.6736	20.6698
114.9044	28.3682
114.1692	4.3898
116.2187	-0.3185
112.2517	-13.0381
113.4696	-8.4758
117.9079	15.3644
111.8916	-15.6184
118.5001	19.9124
113.5383	-40.3057
117.7081	28.9577
120.2299	-5.7142
112.2275	-15.0579
114.1262	-21.1510
119.8452	-10.0759
110.7542	8.4630
344.7543	-24.9650
345.7937	44.1145
111.5152	4.5676
118.7224	-6.2852
115.2185	-8.5655
115.3830	-3.7213
117.4343	-12.2794
114.7421	29.9779
109.0458	10.5890
114.4063	-10.9264
117.7007	19.2711
108.7002	-19.6626
117.1637	-10.1068
114.8268	-7.5947
109.6707	-5.9187
112.1888	-12.9004
109.8218	-24.5088
111.3856	-19.7429
109.7898	-27.3671
106.7352	-3.8792
115.1441	139.4756
112.2251	-27.6236
108.7944	-18.3959
114.4688	1.6470
113.2237	15.0046
115.3086	28.2160
111.5513	26.4284
111.5492	8.5515
104.9499	17.1226
116.0225	11.1889
112.2130	23.2439
113.5650	2.8234
348.8589	25.5817
105.4727	7.6435
108.9227	18.6156
114.2646	-7.3648
104.5442	36.4202
114.0743	-3.0465
112.2405	15.4073
112.9189	14.6125
112.3753	-6.5343
104.9122	14.7582
112.7028	-13.7029
107.5650	-41.3795
107.2223	-6.1907
105.0727	9.6746
108.8192	-16.2817
108.7874	-12.5243
108.7552	-19.4639
104.1722	-9.2253
113.3489	13.6817
111.8676	-1.0758
102.3255	-0.1127
108.1776	-0.9611
109.0345	-4.7305
106.1471	-41.3546
101.4794	26.0536
101.2106	0.2644
106.7864	6.7801
112.7674	0.6382
103.2139	-1.9467
353.1528	-0.0640
105.6038	-48.6099
107.9917	6.4470
101.4868	-8.2257
101.7472	-8.3360
111.6784	-17.2360
103.7323	-5.9856
107.6105	0.6590
102.4891	-25.1117
97.7479	-10.4851
109.8591	3.3283
353.3307	-16.5587
110.5515	16.7920
106.8605	31.9818
97.3066	-11.8341
108.0357	7.5761
108.0317	-8.4190
96.6989	-13.2481
100.3100	-36.2765
355.1270	17.7604
109.2236	20.6846
109.2673	-21.7649
97.1045	4.2736
103.2505	-17.7745
97.8647	-11.1279
102.5618	-9.7965
106.8203	21.1023
102.0427	-10.5532
95.9146	-8.1657
108.5963	-27.8193
105.7110	6.7718
96.1836	-22.0638
105.2531	19.4697
91.9370	12.2688
93.6181	7.1987
97.2650	-1.9909
104.4492	9.6029
107.3004	-18.4763
104.2224	11.2787
97.5523	28.5572
106.8720	-20.6020
102.5877	-20.8893
358.8646	-10.9373
107.5073	-20.6108
102.2094	-24.0070
106.9183	-22.2476
107.1911	-25.4878
103.9847	13.3640
104.5596	-2.8593
92.6122	-25.8787
96.0550	-18.9537
100.5020	-6.8544
357.8301	-9.4958
98.6836	-10.1666
106.1967	-25.6075
102.7082	1.3040
104.9849	-10.4684
105.1323	-41.2582
99.1067	-10.1935
101.3986	-16.2187
98.2344	-8.1368
98.1944	-3.7902
89.0574	30.1630
95.4799	11.8093
101.1170	0.2473
90.1073	13.6757
104.7110	-26.8429
104.7262	112.4400
88.2765	-3.5563
98.3428	-20.5684
88.7738	10.9769
97.9537	-9.8147
359.8914	40.8736
92.0126	-4.7446
92.9012	2.8548
104.6089	-28.4304
91.7084	-12.3120
98.8918	-5.0192
100.1774	-32.2161
89.3536	32.0400
87.5324	17.6252
93.7417	5.8409
95.1358	6.7455
