# PA_bin	RadialBinCenter[kpc]	PA[deg]	RM[rad/m^2]
1	15.00	229.0822	-62.0510
1	15.00	248.9494	-59.3756
1	15.00	238.4778	-99.8745
1	15.00	251.5904	-40.1296
1	15.00	229.1860	-57.7900
1	15.00	275.6737	-45.3895
1	15.00	208.3821	-47.3729
1	15.00	182.8967	-98.4788
1	15.00	286.6214	-40.7773
1	15.00	249.1250	-92.7018
1	15.00	248.4657	-76.6898
1	15.00	172.7465	-44.7348
1	15.00	255.2526	-77.0707
1	15.00	223.9550	-83.7665
1	15.00	302.3863	-47.9265
1	15.00	134.2377	-66.9080
1	15.00	332.1416	-29.0449
1	15.00	62.1389	-58.1853
1	15.00	123.6772	-60.3649
1	15.00	3.4018	-173.3722
1	15.00	95.5604	-57.8016
1	15.00	92.7580	-60.8713
1	15.00	84.0219	-55.3326
1	15.00	93.8651	-64.2212
1	15.00	77.4761	-48.6095
1	15.00	103.1548	-99.8855
1	15.00	101.1712	-66.5512
1	15.00	62.7460	-38.7323
1	15.00	11.2645	-40.2454
1	15.00	74.9077	-41.9451
1	15.00	71.8749	-54.4300
1	15.00	27.2924	-40.6154
1	15.00	67.6122	-22.8859
2	45.00	236.2399	-36.5630
2	45.00	208.7785	-144.6973
2	45.00	252.6746	-94.7829
2	45.00	252.5569	-94.1373
2	45.00	260.1943	-58.1246
2	45.00	230.3745	-72.2384
2	45.00	265.7029	-57.1834
2	45.00	268.8240	-24.7996
2	45.00	203.7785	-98.6326
2	45.00	214.5223	-155.7862
2	45.00	200.4248	-93.7914
2	45.00	240.7213	-50.1814
2	45.00	178.8096	-89.2290
2	45.00	186.5666	-76.2364
2	45.00	283.3660	2.2578
2	45.00	200.7032	-90.8070
2	45.00	276.1619	-42.0694
2	45.00	178.0551	-99.6469
2	45.00	179.8866	-94.2413
2	45.00	291.1482	45.6618
2	45.00	287.1202	-24.5264
2	45.00	287.3426	-30.8981
2	45.00	170.4379	-82.0799
2	45.00	290.1715	-16.1946
2	45.00	192.4386	-83.7476
2	45.00	295.8836	41.6318
2	45.00	176.8131	-68.5673
2	45.00	298.5422	22.1763
2	45.00	177.9594	-68.0635
2	45.00	182.6028	-141.2500
2	45.00	182.3018	-117.6897
2	45.00	299.4748	24.8134
2	45.00	162.2870	-81.8057
2	45.00	163.1388	-83.6508
2	45.00	154.5946	-64.2021
2	45.00	162.6868	-78.9795
2	45.00	153.3880	-53.9829
2	45.00	146.7304	-45.3710
2	45.00	144.0627	-95.4852
2	45.00	139.4324	-91.4544
2	45.00	138.0862	-69.0438
2	45.00	137.0440	-60.9142
2	45.00	136.7336	-69.9861
2	45.00	132.6124	-59.8902
2	45.00	338.9729	10.2196
2	45.00	125.1378	-61.1847
2	45.00	127.6985	-21.2801
2	45.00	343.5609	-20.8368
2	45.00	118.1076	-28.5519
2	45.00	347.0931	29.1201
2	45.00	109.8518	-78.3163
2	45.00	349.8287	27.1648
2	45.00	110.2991	-19.9064
2	45.00	2.9037	-14.8812
2	45.00	104.4006	-39.1359
2	45.00	101.1942	-11.4413
2	45.00	108.4479	-27.1647
2	45.00	45.6832	4.4251
2	45.00	45.8643	-23.9501
2	45.00	4.6035	51.7959
2	45.00	86.5492	-1.4289
2	45.00	86.6575	-44.8985
2	45.00	77.3386	-43.1788
2	45.00	64.8216	-75.1263
2	45.00	33.4794	-62.8690
3	75.00	238.5898	-13.6187
3	75.00	249.0159	-2.4988
3	75.00	248.4265	-6.5791
3	75.00	255.4701	-53.9365
3	75.00	222.5635	-48.8825
3	75.00	211.8186	-67.7173
3	75.00	225.6568	-19.8065
3	75.00	206.2982	-91.2395
3	75.00	224.4223	-62.2734
3	75.00	280.7650	75.0000
3	75.00	269.9487	31.4354
3	75.00	258.4677	-46.4497
3	75.00	278.4477	88.9000
3	75.00	285.8668	72.4000
3	75.00	286.4084	72.4000
3	75.00	183.4135	-90.9151
3	75.00	277.0736	12.2283
3	75.00	289.5171	62.5000
3	75.00	290.2506	53.5000
3	75.00	167.7380	-60.3373
3	75.00	290.3867	64.0000
3	75.00	166.3032	-88.0679
3	75.00	170.9108	-101.4924
3	75.00	293.2799	37.6895
3	75.00	293.4559	32.0555
3	75.00	166.4818	-51.4211
3	75.00	161.0122	-78.4614
3	75.00	159.0691	-66.7791
3	75.00	158.9416	-78.8145
3	75.00	305.3449	68.6550
3	75.00	159.5883	-57.9710
3	75.00	306.5984	62.1624
3	75.00	151.2646	-101.3830
3	75.00	312.7536	49.7235
3	75.00	149.8793	-120.6771
3	75.00	145.8217	-57.5415
3	75.00	145.5323	-72.3882
3	75.00	318.8890	8.3962
3	75.00	322.0901	40.3444
3	75.00	323.4967	83.8044
3	75.00	327.5240	29.7114
3	75.00	137.8211	-71.9541
3	75.00	137.7599	-84.9212
3	75.00	333.1622	18.9960
3	75.00	340.5876	3.3753
3	75.00	342.5210	-12.7537
3	75.00	344.8552	24.0914
3	75.00	119.0446	-42.3649
3	75.00	107.4572	9.8498
3	75.00	113.4780	-71.4779
3	75.00	1.6321	8.6972
3	75.00	13.8890	55.1058
3	75.00	359.1617	10.6638
3	75.00	11.8284	8.7052
3	75.00	17.6698	14.6575
3	75.00	100.1545	-27.3908
3	75.00	12.9836	24.1666
3	75.00	16.9409	26.8541
3	75.00	89.0431	-5.2665
3	75.00	76.6945	-60.2880
3	75.00	10.5978	42.5332
3	75.00	88.7645	-22.9975
3	75.00	18.1349	39.5362
3	75.00	38.9072	-16.0095
3	75.00	17.6360	34.5181
3	75.00	17.7948	36.6564
3	75.00	20.4651	14.3196
3	75.00	68.5291	-31.4788
3	75.00	84.6511	-7.2693
3	75.00	68.6188	-35.9865
3	75.00	91.6982	-28.9193
3	75.00	91.6629	-27.8755
3	75.00	89.2764	-58.1966
3	75.00	26.5336	12.8293
3	75.00	69.1954	-22.5524
3	75.00	31.2182	-55.1081
3	75.00	49.4063	-44.7309
3	75.00	47.9831	-81.1822
3	75.00	48.0782	-73.8105
3	75.00	77.0925	-28.8953
3	75.00	62.9833	-10.4223
3	75.00	24.7858	0.0412
3	75.00	34.1679	-46.3678
3	75.00	42.9983	-59.1050
3	75.00	63.7691	-29.1220
3	75.00	64.2333	-67.9678
4	105.00	247.8203	11.6812
4	105.00	215.1453	-124.1307
4	105.00	233.4022	-36.6537
4	105.00	252.9257	29.3493
4	105.00	227.4767	-34.2200
4	105.00	218.1333	-93.0148
4	105.00	218.0937	-102.5974
4	105.00	246.9644	1.4583
4	105.00	203.1310	-92.8066
4	105.00	199.8561	-104.6577
4	105.00	226.9784	-37.6585
4	105.00	253.7298	13.3149
4	105.00	241.3010	4.0834
4	105.00	197.7046	-46.1409
4	105.00	251.8847	-2.0841
4	105.00	227.7609	-21.4337
4	105.00	255.9790	33.1356
4	105.00	206.4574	-145.8823
4	105.00	195.1525	-74.4884
4	105.00	207.5974	-126.6352
4	105.00	207.6616	-114.9706
4	105.00	191.6622	-65.2238
4	105.00	186.8408	-57.5291
4	105.00	276.7393	83.0000
4	105.00	274.9730	123.5000
4	105.00	273.3002	60.0000
4	105.00	181.1181	-57.7188
4	105.00	182.5647	-38.9280
4	105.00	271.9775	105.5000
4	105.00	181.2582	-30.3917
4	105.00	282.1265	53.8000
4	105.00	186.5578	-14.9679
4	105.00	286.5641	40.7000
4	105.00	276.0170	51.9000
4	105.00	178.2908	-42.4921
4	105.00	282.4402	85.4000
4	105.00	175.8975	-36.2563
4	105.00	292.2379	41.7000
4	105.00	171.5514	-35.7777
4	105.00	286.1777	48.0000
4	105.00	170.4814	-51.4121
4	105.00	297.8766	59.4000
4	105.00	297.8323	61.1000
4	105.00	168.3127	-69.5250
4	105.00	163.7594	-64.3714
4	105.00	164.0479	-41.4173
4	105.00	157.3662	-136.2105
4	105.00	153.6693	-67.8052
4	105.00	312.7240	65.4492
4	105.00	150.0627	-70.1463
4	105.00	149.5262	-67.3137
4	105.00	148.9771	-98.8524
4	105.00	147.4235	-66.9347
4	105.00	146.8495	-74.7106
4	105.00	318.1830	36.8702
4	105.00	146.4823	-76.0508
4	105.00	320.1789	63.5883
4	105.00	320.4328	45.0424
4	105.00	143.4782	-51.4384
4	105.00	143.4469	-63.8171
4	105.00	321.0705	61.0831
4	105.00	321.5636	27.1116
4	105.00	134.6725	-63.2060
4	105.00	133.6825	-81.6646
4	105.00	131.4606	-63.7787
4	105.00	334.7558	-15.7685
4	105.00	335.6907	-10.7465
4	105.00	335.7769	-10.1625
4	105.00	125.8299	-24.5343
4	105.00	123.1039	-39.4767
4	105.00	337.7755	3.4498
4	105.00	338.6708	6.6779
4	105.00	344.2941	7.7590
4	105.00	340.2811	21.8559
4	105.00	340.4483	11.1283
4	105.00	122.3683	-36.3731
4	105.00	341.3271	13.5385
4	105.00	117.5470	-33.9601
4	105.00	118.0130	-73.5459
4	105.00	343.8974	-3.1185
4	105.00	119.7120	-42.4471
4	105.00	118.7747	-25.9090
4	105.00	351.9285	38.0958
4	105.00	108.8326	-41.9574
4	105.00	353.2800	-14.5071
4	105.00	351.8512	-7.6758
4	105.00	111.5642	-12.0863
4	105.00	109.3983	-54.2521
4	105.00	102.3746	-7.2868
4	105.00	355.4718	1.7828
4	105.00	0.7812	-13.1615
4	105.00	98.8703	-27.3078
4	105.00	101.1361	20.2168
4	105.00	92.8475	-29.2155
4	105.00	5.0701	-17.5570
4	105.00	100.1035	16.4300
4	105.00	91.8157	2.5922
4	105.00	97.4246	-23.1383
4	105.00	95.6939	-6.8178
4	105.00	89.6749	22.4444
4	105.00	31.9795	-41.4038
4	105.00	92.5960	13.7400
4	105.00	15.5444	32.3052
4	105.00	12.6053	-32.8722
4	105.00	12.5323	-28.7005
4	105.00	82.1617	-2.4071
4	105.00	82.0090	11.0151
4	105.00	74.0144	-39.5753
4	105.00	32.4425	-3.2195
4	105.00	40.1669	-36.7922
4	105.00	83.7471	7.0536
4	105.00	43.5714	-26.9664
4	105.00	79.1543	-34.7988
4	105.00	78.5793	-58.7644
4	105.00	48.9043	-53.7225
4	105.00	29.1219	2.7130
4	105.00	30.6432	-2.0480
4	105.00	64.9238	-26.2069
4	105.00	76.4944	-23.9920
4	105.00	41.4091	-7.5242
4	105.00	41.6752	-30.7551
