# PA[deg]	RM[rad/m^2]
163.3916	0.0237
159.0414	-0.7806
161.9382	-10.0833
159.7090	-0.0076
306.2187	-3.4536
160.3788	3.2836
159.2876	-9.6241
161.2754	-10.9395
158.8038	7.3691
157.3400	0.3644
158.6992	21.2937
159.3940	-25.5247
156.7464	9.0426
157.3389	1.6563
160.9448	-19.9334
159.0569	-1.6788
160.4820	5.9771
157.9982	-10.2393
159.1346	6.5310
159.3353	28.4494
158.4857	-12.9161
158.4559	-14.2733
156.1422	6.6560
158.2502	-9.5759
160.7148	-9.5313
159.3462	19.7822
155.8998	24.3632
159.3263	-19.2896
157.0947	-0.7850
157.6986	-3.6043
155.8631	2.8265
157.5839	9.1810
154.9339	16.6765
157.2596	22.3482
154.9306	17.4587
155.5187	1.1903
157.3822	-8.0841
154.7663	15.1446
158.9590	-11.9745
157.6879	7.3617
157.9407	1.5052
154.5197	24.0031
156.6084	7.6099
154.4115	-14.7173
310.0529	38.2206
157.8214	1.0587
157.7928	-16.8115
157.6229	-12.2596
155.9432	13.4626
157.5817	-0.4197
154.3653	6.6463
157.2738	-10.9665
153.3798	22.0609
156.2926	22.1687
154.7417	5.7499
311.7056	15.4025
153.5106	18.5147
155.0383	9.5272
156.0710	-1.7239
152.7557	33.7394
152.2267	23.1332
153.6189	9.2858
155.7082	23.8296
311.5804	11.1058
154.0835	-11.0366
152.3319	-8.7394
152.0077	17.9504
153.6214	22.9975
153.5882	19.4706
151.7692	26.4105
154.2277	251.3437
151.0478	-24.5476
151.6763	10.2908
151.1473	-16.4438
151.2027	21.1701
153.2081	12.6225
151.8824	1.4849
151.0054	0.4144
152.6094	4.0150
150.9174	19.2314
152.2344	17.0216
150.1639	-43.0350
150.9388	4.2956
150.4118	-3.6872
151.5287	-0.8951
149.9636	9.9974
150.5733	-41.3986
150.2602	16.7053
149.8229	-4.1202
150.7147	-13.1792
149.2754	-18.0370
150.2906	-8.1851
148.9815	-2.7320
151.0796	-1.9687
148.7393	-0.5396
150.9617	2.2694
148.9438	-31.3970
148.5561	-9.0338
148.5557	-10.1526
149.9236	-14.0241
148.6685	-22.5980
148.4026	29.9879
148.2596	1.0546
148.3135	-27.2145
148.5035	9.4126
149.6247	-0.7983
148.8031	-20.6128
148.0991	3.2847
148.1914	-3.9302
148.1567	-2.3632
148.9638	2.8991
148.0659	6.0736
147.8366	-2.7120
146.6239	4.8543
146.4400	-18.5967
145.3201	-4.4127
145.1510	2.2890
145.2834	-20.8779
145.5322	22.4361
145.1094	12.6705
144.9960	-9.0603
145.2999	-13.4462
144.8764	-13.1473
145.1339	11.7862
145.1058	22.5255
144.3021	42.2529
144.2879	19.5701
144.3922	2.3941
144.0300	-1.3411
320.6582	1.4538
320.8337	-5.0649
144.0096	-18.4731
320.9540	-21.0134
143.5710	-6.7149
143.4648	-8.1287
143.1980	-17.7475
142.8495	-10.5888
142.6691	6.1661
142.5188	-2.5362
142.3797	24.2504
142.3085	-8.4130
142.2420	-0.2622
142.2270	-20.1967
322.5001	43.6477
141.9916	-32.2091
141.5696	17.8528
141.5889	-21.1346
323.0518	40.2883
141.5893	-17.9947
141.5739	-16.3105
323.1299	39.7740
141.4618	-9.8361
141.2262	-6.3899
323.4095	74.3375
141.1432	2.4138
140.8275	-33.9163
323.9762	36.6086
140.6502	-17.5746
140.2717	-23.4493
140.2130	-11.1967
139.9930	11.1587
139.4295	-2.6065
139.8825	-37.7519
139.1779	-12.3766
139.0995	8.9072
138.8264	-16.7833
138.8742	-6.5060
138.0447	36.6017
138.5493	5.5499
138.5363	7.1058
138.1419	-15.4707
137.4074	1.2535
137.9815	-8.5277
137.1380	-13.7448
137.3640	-20.8723
136.8668	13.0265
136.4527	21.9274
135.6523	-8.2492
327.7552	29.8706
327.8119	33.9765
135.7645	-14.0613
135.6316	-5.4498
136.2955	5.2480
134.9731	13.3862
134.8115	4.9926
134.7901	2.2137
135.7144	-8.2657
134.0120	0.3352
329.3869	-14.6750
134.3623	3.7124
133.9951	11.5676
133.2162	1.6075
133.4753	-7.7614
133.0117	-6.7934
132.8646	-8.9974
135.0554	-21.5021
135.2979	6.6983
133.5971	-5.9741
135.1215	-12.8104
132.5759	-8.1917
134.7047	-5.8700
134.9378	4.3583
133.7162	31.6299
133.2047	3.8265
134.2312	-5.7972
132.9734	13.7896
132.4672	-31.3606
133.9034	14.3577
132.6649	1.4519
133.4751	-10.0233
132.6024	6.7378
133.5523	-12.1171
331.0109	29.4619
134.1757	12.3866
131.8645	22.4747
133.4712	1.5318
331.7250	-5.5900
132.6496	-28.7369
131.1683	22.4191
132.3103	7.5957
130.9135	4.8808
133.1158	-5.3193
132.9064	3.9149
132.4451	80.4557
332.5667	10.9014
131.2432	-5.5386
332.7392	92.3387
131.2019	-8.3244
131.9985	11.5883
129.7214	22.0773
131.5732	12.0267
131.2199	-2.6247
131.3419	41.3566
333.6869	-189.6107
131.0480	11.4202
129.9053	8.1066
129.0524	-9.7271
131.4323	11.2351
130.1576	-2.5294
129.4651	1.2787
130.9080	-5.2823
128.8711	-107.5895
334.0989	13.6017
130.2171	15.8165
127.7351	-2.2453
127.3067	-32.5245
130.3090	7.4255
128.2052	38.4529
128.5416	23.2178
129.5411	15.2909
130.6441	-9.3718
130.3439	10.3047
129.1579	17.2867
130.0365	4.4069
127.2512	30.6817
129.6170	30.3217
128.6045	29.2384
128.4999	-18.3430
127.3277	8.0777
128.5690	-17.0476
335.0999	-57.5344
128.0165	3.4346
126.4143	19.9850
125.1722	-31.5265
127.5314	-4.4455
126.8424	5.5418
127.6656	-2.9962
336.1011	-56.2111
336.1988	-66.6202
123.7208	-15.9512
128.2033	-28.3497
127.0854	-6.4654
127.2052	8.1887
122.8217	-8.6014
127.0620	13.4867
127.8513	-4.8446
126.7695	7.3763
124.8388	11.6901
124.0607	27.2898
124.9272	-8.2314
125.1571	4.2734
124.3662	-8.9220
123.7983	24.2764
123.1037	-4.6330
123.2179	-8.3850
120.4034	-10.9842
122.5530	11.5728
122.9323	9.3909
121.5549	-14.1565
123.1754	21.1083
124.1158	1.0159
122.2248	5.0291
119.0697	-0.1399
118.7800	3.8749
120.6600	-3.9774
122.6103	-7.1819
123.4510	-9.6318
118.6516	-56.1119
122.4111	-27.3130
120.9241	6.9087
122.5286	-2.7200
119.0835	12.0470
118.7942	-5.3605
122.0341	-6.0579
118.0508	-20.2405
122.3832	-2.3218
118.6656	9.1048
115.3685	-7.8195
116.4078	-1.7486
120.9341	34.5402
120.9096	-8.5471
121.6061	9.3476
342.7134	5.9634
116.3745	5.2224
118.6807	17.8619
120.1570	3.9026
121.7951	12.1220
121.3143	-42.6358
118.9594	4.7502
116.1181	13.4117
116.0892	65.4686
121.2777	-4.8760
121.2654	37.1047
121.2863	-11.7758
121.1437	1.4509
117.6736	22.4794
114.9044	28.3136
114.1692	4.3156
116.2187	-0.2920
112.2517	-13.0517
113.4696	-8.5531
117.9079	15.9841
111.8916	-15.6207
118.5001	19.8932
113.5383	-40.3766
117.7081	29.4250
120.2299	-5.7456
112.2275	-15.0967
114.1262	-21.1968
119.8452	-10.0968
110.7542	8.4738
344.7543	-24.9378
345.7937	44.1134
111.5152	4.5246
118.7224	-6.3068
115.2185	-4.5581
115.3830	-0.5698
117.4343	-12.2931
114.7421	32.9239
109.0458	10.6092
114.4063	-9.1358
117.7007	19.2641
108.7002	-19.6424
117.1637	-10.1196
114.8268	-3.8002
109.6707	-5.9443
112.1888	-12.9118
109.8218	-24.5779
111.3856	-19.7828
109.7898	-27.4361
106.7352	-3.8238
115.1441	139.4565
112.2251	-27.5913
108.7944	-18.4395
114.4688	1.6276
113.2237	20.1997
115.3086	28.1994
111.5513	26.4566
111.5492	8.5803
104.9499	10.2578
116.0225	11.1840
112.2130	26.5633
113.5650	4.1117
348.8589	25.6176
105.4727	7.6916
108.9227	18.5498
114.2646	-7.3833
104.5442	32.8796
114.0743	-3.0651
112.2405	21.1329
112.9189	16.3976
112.3753	-3.6698
104.9122	14.7929
112.7028	-13.3321
107.5650	-41.4572
107.2223	-6.2687
105.0727	9.6911
108.8192	-16.3032
108.7874	-12.5469
108.7552	-19.4874
104.1722	-9.1864
113.3489	13.6648
111.8676	0.3875
102.3255	-16.7239
108.1776	-1.0016
