# PA_bin	RadialBinCenter[kpc]	PA[deg]	RM[rad/m^2]
1	15.00	229.0822	-227.3121
1	15.00	248.9494	-368.1707
1	15.00	238.4778	-336.9060
1	15.00	251.5904	-332.3935
1	15.00	229.1860	-208.5896
1	15.00	275.6737	-325.6037
1	15.00	208.3821	-53.5748
1	15.00	182.8967	-98.3958
1	15.00	286.6214	-290.1051
1	15.00	249.1250	-310.1425
1	15.00	248.4657	-289.7531
1	15.00	172.7465	-44.6520
1	15.00	255.2526	-284.7626
1	15.00	223.9550	-198.0819
1	15.00	302.3863	-195.9823
1	15.00	134.2377	-66.8256
1	15.00	332.1416	-184.8809
1	15.00	62.1389	-140.7814
1	15.00	123.6772	-60.2826
1	15.00	3.4018	-307.1124
1	15.00	95.5604	-57.7194
1	15.00	92.7580	-64.5630
1	15.00	84.0219	-73.6277
1	15.00	93.8651	-64.1390
1	15.00	77.4761	-66.2108
1	15.00	103.1548	-99.8034
1	15.00	101.1712	-66.4691
1	15.00	62.7460	-79.0291
1	15.00	11.2645	-105.0355
1	15.00	74.9077	-41.8632
1	15.00	71.8749	-54.6913
1	15.00	27.2924	-89.5493
1	15.00	67.6122	-28.6906
2	45.00	236.2399	-183.2573
2	45.00	208.7785	-144.7494
2	45.00	252.6746	-272.5760
2	45.00	252.5569	-273.0047
2	45.00	260.1943	-242.6666
2	45.00	230.3745	-188.4295
2	45.00	265.7029	-270.5347
2	45.00	268.8240	-242.4208
2	45.00	203.7785	-98.6846
2	45.00	214.5223	-155.8382
2	45.00	200.4248	-93.8433
2	45.00	240.7213	-337.4991
2	45.00	178.8096	-89.2808
2	45.00	186.5666	-76.2882
2	45.00	283.3660	-348.5365
2	45.00	200.7032	-90.8588
2	45.00	276.1619	-376.8124
2	45.00	178.0551	-99.5646
2	45.00	179.8866	-94.1581
2	45.00	291.1482	-345.4383
2	45.00	287.1202	-354.6039
2	45.00	287.3426	-361.3134
2	45.00	170.4379	-82.0032
2	45.00	290.1715	-350.5319
2	45.00	192.4386	-83.6645
2	45.00	295.8836	-321.9061
2	45.00	176.8131	-68.4842
2	45.00	298.5422	-332.9732
2	45.00	177.9594	-67.9805
2	45.00	182.6028	-141.1670
2	45.00	182.3018	-117.6067
2	45.00	299.4748	-284.0038
2	45.00	162.2870	-81.7230
2	45.00	163.1388	-83.5680
2	45.00	154.5946	-64.1307
2	45.00	162.6868	-78.8967
2	45.00	153.3880	-53.9076
2	45.00	146.7304	-45.2901
2	45.00	144.0627	-95.4139
2	45.00	139.4324	-91.3787
2	45.00	138.0862	-68.9613
2	45.00	137.0440	-60.8317
2	45.00	136.7336	-69.9037
2	45.00	132.6124	-59.8079
2	45.00	338.9729	-142.3187
2	45.00	125.1378	-61.1069
2	45.00	127.6985	-21.2098
2	45.00	343.5609	-167.3938
2	45.00	118.1076	-28.4698
2	45.00	347.0931	-103.8683
2	45.00	109.8518	-78.2342
2	45.00	349.8287	-97.0964
2	45.00	110.2991	-19.8245
2	45.00	2.9037	-81.0185
2	45.00	104.4006	-39.0541
2	45.00	101.1942	-11.3595
