Name, l_MS, b_MS, v_LSR, D_dwarf, R, X, Y, M_*, M_200, R_200, v_200, v_LGSR, v_m31, RA, DEC
M32, -126.5, 23.8, -194.6, 805.0, 5.3, -0.1, -5.3, 3200.0, 852.2, 92.8, 88.9, 67, 100, "00:42:41.8", "40:51:55"
NGC 205, -127.5, 23.4, -241.3, 824.0, 8.0, -5.8, 5.5, 3300.0, 864.8, 93.2, 89.3, 22, 56, "00:40:22.1", "41:41:07"
And IX, -129.0, 25.7, -203.5, 766.0, 35.3, 24.3, 25.6, 1.5, 21.5, 27.2, 26.1, 56, 90, "00:52:53", "43:11:45"
And XVII, -130.3, 22.9, -246.3, 794.0, 42.3, -13.2, 40.2, 2.6, 28.0, 29.7, 28.5, nan, nan, "00:37:07", "44:19:20"
And I, -123.4, 24.2, -372.0, 745.0, 43.0, 7.6, -42.3, 39.0, 102.7, 45.8, 43.9, -116, -82, "00:45:39.8", "38:02:28"
And XXVII, -131.5, 23.1, -534.2, 828.0, 55.5, -12.2, 54.1, 1.2, 19.3, 26.3, 25.2, nan, nan, "00:37:27.1", "45:23:13"
And III, -121.9, 22.0, -341.5, 748.0, 65.2, -18.9, -62.4, 8.3, 48.9, 35.8, 34.3, -83, -49, "00:35:33.8", "36:29:52"
And X, -130.8, 28.2, -160.0, 701.0, 73.5, 55.4, 48.3, 1.0, 17.4, 25.3, 24.3, 95, 128, "01:06:33.7", "44:48:16"
And XXV, -133.1, 21.9, -101.8, 813.0, 79.0, -28.3, 73.8, 6.8, 44.4, 34.7, 33.2, nan, nan, "00:30:08.9", "46:51:07"
And XV, -123.3, 29.8, -336.9, 631.0, 89.7, 81.4, -37.7, 4.9, 38.0, 32.9, 31.5, -95, -61, "01:14:18.7", "38:07:03"
NGC 185, -134.7, 23.4, -198.0, 617.0, 93.1, -8.2, 92.8, 680.0, 405.1, 72.4, 69.4, 72, 105, "00:38:58", "48:20:15"
NGC 147, -134.8, 22.4, -187.0, 676.0, 97.5, -20.8, 95.3, 620.0, 387.6, 71.4, 68.4, 85, 118, "00:33:12.1", "48:30:32"
And XXVI, -134.3, 20.8, -255.1, 762.0, 97.8, -41.8, 88.4, 0.6, 13.9, 23.5, 22.5, nan, nan, "00:23:45.6", "47:54:58"
And XI, -118.7, 23.9, -416.6, 759.0, 98.4, 9.8, -97.9, 0.5, 12.6, 22.8, 21.8, -167, -134, "00:46:20", "33:48:05"
And XIX, -120.8, 18.6, -106.7, 933.0, 101.2, -62.4, -79.6, 4.3, 35.7, 32.2, 30.9, nan, nan, "00:19:32.1", "35:02:37"
And V, -134.1, 28.6, -398.9, 773.0, 105.3, 60.9, 85.9, 3.9, 34.0, 31.7, 30.4, -143, -109, "01:10:17.1", "47:37:41"
And XXIV, -132.7, 30.2, -124.7, 600.0, 107.7, 80.8, 71.2, 0.9, 17.1, 25.2, 24.2, nan, nan, "01:18:30", "46:21:58"
Cas II, -136.1, 23.0, -133.7, 681.0, 110.8, -13.1, 110.0, 1.4, 20.8, 26.9, 25.8, nan, nan, "00:37:00.84", "49:39:12"  
And XIII, -117.7, 24.9, -192.5, 912.0, 110.9, 25.1, -108.1, 0.4, 11.5, 22.1, 21.2, 53, 86, "00:51:51", "33:00:16"
And XXI, -129.3, 15.1, -355.1, 859.0, 118.0, -115.5, 23.8, 7.6, 46.9, 35.3, 33.8, nan, nan, "23:54:47.7", "42:28:15"  
And XX, -121.4, 16.2, -450.6, 802.0, 121.1, -94.5, -75.9, 0.3, 9.8, 20.9, 20.0, nan, nan, "00:07:30.7", "35:07:56"
And XXIII, -124.0, 32.7, -236.3, 769.0, 121.6, 118.9, -25.6, 11.0, 56.0, 37.4, 35.9, nan, nan, "01:29:21.8", "38:43:08"
And II, -117.8, 30.1, -192.5, 652.0, 135.2, 92.5, -98.6, 76.0, 141.5, 51.0, 48.9, 40, 73, "01:16:29.8", "33:25:09"
Cas III, -138.2, 22.9, -365.2, 772.0, 135.7, -13.8, 135.0, 71.1, 137.1, 50.5, 48.3, nan, nan, "00:35:59.4", "51:33:35" 
And XXIX, -117.3, 13.5, -188.8, 731.0, 179.7, -123.7, -130.4, 1.8, 23.5, 28.0, 26.8, nan, nan, "23:58:55.6", "30:45:20"
And XXII, -111.4, 32.2, -130.6, 794.0, 210.1, 130.5, -164.7, 0.3, 10.5, 21.5, 20.6, nan, nan, "01:27:40", "28:05:25"
And VII, -138.6, 12.1, -299.8, 762.0, 211.5, -157.1, 141.5, 95.0, 157.5, 52.9, 50.6, -8, 24,"23:26:31.7", "50:40:33"
IC 10, -146.6, 20.7, -340.0, 794.0, 240.1, -38.0, 237.1, 860.0, 453.5, 75.2, 72.0, -64, -32, "00:20:17.3", "59:18:14"
Lac I, -131.0, 4.6, -188.0, 756.0, 255.4, -252.4, 38.9, 40.9, 105.1, 46.2, 44.3, nan, nan, "22:58:13.26", "41:17:53.5"
And VI, -111.6, 10.5, -348.8, 783.0, 258.2, -153.1, 207.9, 28.0, 87.6, 43.5, 41.6, -93, -62,"23:51:46.3", "24:34:57"
LGS 3, -105.1, 26.2, -286.8, 769.0, 259.8, 65.4, -251.4, 9.6, 52.4, 36.6, 35.1, -43, -74,"01:03:55", "21:53:06"
